,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,marital_status,education_level,kids,expenses
21,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,71,2712,,5,,,,,,,,5,953,934,1,Married,PhD,1,953
22,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,66,2328,,5,,,,,,,,5,539,534,0,Married,PhD,1,539
23,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,69,2627,,,,3,,,,3,,,345,246,0,Together,Graduation,1,345
24,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,51,2702,,,4,,,,,3,,,62,49,0,Single,Graduation,0,62
25,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,44,2557,,5,,,,,,3,,,216,175,0,Married,Graduation,2,216
26,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,31,2553,,5,,,,,,3,,,121,111,0,Married,Graduation,1,121
27,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,55,2378,,5,,,,,,,,5,1672,1672,1,Married,PhD,0,1672
28,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,31,2197,1,,,,,,,,4,,26,22,0,Divorced,Master,0,26
29,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,57,2573,,,,3,,,,,4,,229,140,0,Together,Master,0,229
30,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,50,2786,,,,3,,,,3,,,117,114,1,Together,Graduation,1,117
31,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,68,2767,1,,,,,,,,,5,259,216,0,Divorced,PhD,2,259
32,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,74,2653,,5,,,,,,,4,,1174,1152,0,Married,Master,0,1174
33,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,69,2463,,,4,,,,,,4,,62,59,0,Single,Master,2,62
34,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,50,2339,,5,,,,,,,,5,878,843,0,Married,PhD,1,878
35,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,44,2459,,5,,,,1,,,,,45,9,0,Married,2n Cycle,1,45
36,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,47,2297,,,,,2,,,3,,,63,59,0,Widow,Graduation,1,63
37,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,77,2672,1,,,,,,,,,5,860,818,1,Divorced,PhD,0,860
38,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,40,2585,,5,,,,,,3,,,1293,1191,0,Married,Graduation,1,1293
39,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,35,2633,,5,,,,,,,4,,46,39,0,Married,Master,1,46
40,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,63,2711,,,,3,,,,3,,,19,16,0,Together,Graduation,1,19
41,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,45,2429,,5,,,,,,,4,,19,7,0,Married,Master,1,19
42,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,44,2160,,,4,,,,,3,,,810,636,0,Single,Graduation,0,810
43,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,24,2756,,5,,,,1,,,,,72,22,0,Married,2n Cycle,0,72
44,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,52,2560,,,,3,,,,3,,,42,29,0,Together,Graduation,1,42
45,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,66,2757,,5,,,,,,,,5,1281,1243,0,Married,PhD,2,1281
46,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,63,2207,,,,,2,,,3,,,493,479,0,Widow,Graduation,1,493
47,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,56,2846,,5,,,,,,,4,,1661,1629,0,Married,Master,0,1661
48,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,43,2702,,,4,,,,,3,,,69,66,0,Single,Graduation,1,69
49,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,43,2181,1,,,,,,,3,,,1376,1135,2,Divorced,Graduation,0,1376
50,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,42,2541,,5,,,,,,3,,,497,388,0,Married,Graduation,2,497
51,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,65,2746,,,,3,,,,,4,,1767,1577,1,Together,Master,0,1767
52,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,54,2612,1,,,,,,,3,,,1053,1013,0,Divorced,Graduation,0,1053
53,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,32,2221,,,4,,,,,3,,,24,19,0,Single,Graduation,1,24
54,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,52,2277,,5,,,,,,,,5,475,432,0,Married,PhD,1,475
55,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,38,2519,,,4,,,,,,4,,1358,1278,2,Single,Master,0,1358
56,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,45,2819,,,,3,,,,3,,,606,600,0,Together,Graduation,2,606
57,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,68,2655,,,4,,,,,3,,,715,546,0,Single,Graduation,1,715
58,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,69,2542,,,,,2,,,,,5,600,594,0,Widow,PhD,1,600
59,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,72,2364,,,,3,,,,3,,,1046,1016,0,Together,Graduation,0,1046
60,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,49,2563,,5,,,,,,3,,,19,4,0,Married,Graduation,1,19
61,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,53,2208,,,,3,,,,3,,,11,11,0,Together,Graduation,2,11
62,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,41,2261,,,4,,,1,,,,,1236,1198,2,Single,2n Cycle,1,1236
63,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,62,2434,,,,3,,,,3,,,544,435,0,Together,Graduation,1,544
64,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,50,2606,,,,3,,,,3,,,1489,1416,0,Together,Graduation,3,1489
65,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,66,2815,,5,,,,,,,4,,1241,1229,0,Married,Master,0,1241
66,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,61,2628,,5,,,,,,3,,,777,691,0,Married,Graduation,1,777
67,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,45,2609,,5,,,,,,,,5,642,623,1,Married,PhD,2,642
68,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,68,2219,,5,,,,,,3,,,56,47,0,Married,Graduation,0,56
69,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,43,2716,1,,,,,,,3,,,12,11,0,Divorced,Graduation,1,12
70,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,48,2830,,5,,,,,,,4,,1872,1854,0,Married,Master,0,1872
71,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,44,2784,,,4,,,,,3,,,2158,2107,1,Single,Graduation,0,2158
72,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,44,2457,,,,3,,1,,,,,9,0,0,Together,2n Cycle,0,9
73,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,55,2702,,,,3,,,,3,,,641,590,1,Together,Graduation,0,641
74,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,35,2828,,,4,,,,,3,,,148,131,0,Single,Graduation,1,148
75,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,51,2530,,5,,,,,,3,,,12,8,0,Married,Graduation,1,12
76,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,47,2520,,5,,,,1,,,,,56,33,0,Married,2n Cycle,1,56
77,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,57,2573,,,,3,,,,,4,,229,140,0,Together,Master,0,229
78,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,33,2283,1,,,,,,,3,,,702,626,0,Divorced,Graduation,0,702
79,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,60,2481,,5,,,,,,3,,,53,50,0,Married,Graduation,2,53
80,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,50,2507,,5,,,,,,,4,,146,141,1,Married,Master,2,146
81,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,63,2191,,,4,,,,,3,,,338,304,2,Single,Graduation,1,338
82,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,47,2207,,5,,,,,,3,,,1221,1076,1,Married,Graduation,0,1221
83,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,53,2318,,,,3,,,,3,,,187,180,0,Together,Graduation,1,187
84,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,48,2257,,,4,,,,,,4,,28,24,0,Single,Master,1,28
85,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,50,2195,,5,,,,,,,,5,43,43,0,Married,PhD,1,43
86,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,37,2197,,5,,,,,,3,,,36,27,0,Married,Graduation,1,36
87,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,60,2743,,,,,2,,,3,,,531,456,1,Widow,Graduation,1,531
88,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48,2603,1,,,,,,,3,,,61,59,0,Divorced,Graduation,2,61
89,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,69,2369,,5,,,,1,,,,,755,532,1,Married,2n Cycle,0,755
90,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,37,2533,,5,,,,,,,,5,399,388,0,Married,PhD,0,399
91,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,60,2500,,,4,,,1,,,,,62,52,0,Single,2n Cycle,1,62
92,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,61,2250,,,4,,,,,,,5,50,45,0,Single,PhD,1,50
93,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,41,2594,,,,3,,,,3,,,1058,947,0,Together,Graduation,1,1058
94,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,75,2567,,5,,,,,,,,5,1039,958,0,Married,PhD,0,1039
95,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,61,2211,,5,,,,,,3,,,1059,1021,0,Married,Graduation,0,1059
96,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,41,2360,,,,3,,,2,,,,20,11,0,Together,Basic,1,20
97,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,56,2437,,5,,,,,,3,,,180,173,0,Married,Graduation,2,180
98,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,51,2671,,5,,,,,,3,,,845,780,0,Married,Graduation,2,845
99,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,42,2716,,,4,,,,,3,,,118,91,0,Single,Graduation,1,118
100,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,60,2728,,5,,,,,,,4,,807,764,0,Married,Master,0,807
101,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,41,2398,,,,3,,,,3,,,890,811,0,Together,Graduation,1,890
102,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,29,2755,,,4,,,,,,,5,1734,1648,1,Single,PhD,0,1734
103,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,57,2163,,,,3,,,,,4,,548,488,1,Together,Master,1,548
104,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,29,2702,,,4,,,,,3,,,708,686,2,Single,Graduation,0,708
105,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,40,2723,,5,,,,,,,,5,479,407,0,Married,PhD,1,479
106,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,58,2451,,,4,,,,,3,,,87,60,0,Single,Graduation,2,87
107,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,50,2315,,5,,,,,,3,,,1691,1658,2,Married,Graduation,0,1691
108,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,42,2654,,5,,,,1,,,,,457,337,0,Married,2n Cycle,1,457
109,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,53,2512,,,,3,,1,,,,,51,21,0,Together,2n Cycle,2,51
110,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,51,2386,,,,3,,,,3,,,30,27,0,Together,Graduation,1,30
111,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,67,2533,,,,3,,,,,4,,612,564,0,Together,Master,1,612
112,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,53,2284,,,4,,,,,,4,,70,60,0,Single,Master,1,70
113,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,35,2457,,5,,,,,,,4,,23,16,0,Married,Master,2,23
114,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,44,2592,1,,,,,,,3,,,41,39,0,Divorced,Graduation,1,41
115,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,37,2633,,,4,,,,,3,,,967,799,3,Single,Graduation,0,967
116,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,55,2655,,,,3,,1,,,,,387,215,0,Together,2n Cycle,0,387
117,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,36,2593,,,4,,,,,3,,,1707,1491,0,Single,Graduation,0,1707
118,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,67,2180,,5,,,,,,,4,,86,82,0,Married,Master,2,86
119,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,64,2209,,,,3,,,,,,5,649,637,0,Together,PhD,2,649
120,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,68,2431,,5,,,,,,3,,,405,347,0,Married,Graduation,1,405
121,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,62,2635,,,4,,,,,,4,,591,550,0,Single,Master,2,591
122,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,51,2298,,5,,,,,,3,,,595,465,0,Married,Graduation,0,595
123,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,56,2478,,5,,,,,,,,5,256,233,0,Married,PhD,2,256
124,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,53,2628,,,,3,,,,,,5,1482,1482,1,Together,PhD,0,1482
125,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,44,2849,1,,,,,,2,,,,20,11,0,Divorced,Basic,1,20
126,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,61,2516,,5,,,,,,,,5,90,74,0,Married,PhD,3,90
127,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,47,2200,,,4,,,,,,,5,29,9,1,Single,PhD,2,29
128,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,55,2495,1,,,,,,,,,5,34,30,0,Divorced,PhD,2,34
129,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,28,2777,,,4,,,,,,4,,2057,2037,0,Single,Master,0,2057
130,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,44,2386,,,,3,,,,,4,,1003,953,0,Together,Master,1,1003
131,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,58,2595,,5,,,,,,3,,,1259,1133,0,Married,Graduation,0,1259
132,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,46,2464,,,4,,,,,,,5,838,805,0,Single,PhD,1,838
133,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,32,2626,,,,3,,,,3,,,196,80,0,Together,Graduation,1,196
134,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,44,2778,,5,,,,,,3,,,828,779,0,Married,Graduation,2,828
135,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,45,2768,,5,,,,,,3,,,52,36,0,Married,Graduation,1,52
136,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,39,2464,,,,3,,,,3,,,18,14,0,Together,Graduation,1,18
137,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,47,2835,,5,,,,1,,,,,179,147,0,Married,2n Cycle,3,179
138,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,54,2167,,5,,,,,,,4,,119,111,0,Married,Master,0,119
139,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,67,2225,,5,,,,,,,4,,446,433,0,Married,Master,2,446
140,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,51,2273,,5,,,,,,3,,,447,434,1,Married,Graduation,1,447
141,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,48,2721,,,,3,,1,,,,,338,247,0,Together,2n Cycle,1,338
142,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,32,2207,,,4,,,,,3,,,69,49,0,Single,Graduation,1,69
143,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,68,2787,,,,3,,,,,,5,945,869,0,Together,PhD,1,945
144,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,71,2654,,,,3,,,,3,,,1339,1297,2,Together,Graduation,0,1339
145,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,62,2515,,,4,,,,,3,,,303,300,0,Single,Graduation,1,303
146,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,42,2449,,,4,,,,,3,,,18,18,0,Single,Graduation,3,18
147,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,43,2414,,,,3,,,,3,,,148,134,0,Together,Graduation,1,148
148,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,65,2472,,,4,,,,,3,,,1174,1117,0,Single,Graduation,0,1174
149,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,62,2522,,,4,,,,,,4,,8,3,0,Single,Master,3,8
150,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,75,2760,,5,,,,,,,,5,1673,1640,0,Married,PhD,0,1673
